2026-05-17 14:47:52 INFO  [com.example.wyk.WykMusicApplication] - Started WykMusicApplication in 1.285 seconds (JVM running for 157.223)
2026-05-17 14:47:52 INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2026-05-17 14:47:56 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 34600 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:47:56 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:47:56 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
2026-05-17 14:47:56 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-05-17 14:47:56 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2026-05-17 14:47:57 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8888 (http)
2026-05-17 14:47:57 INFO  [o.a.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8888"]
2026-05-17 14:47:57 INFO  [o.a.catalina.core.StandardService] - Starting service [Tomcat]
2026-05-17 14:47:57 INFO  [o.a.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.56]
2026-05-17 14:47:57 INFO  [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2026-05-17 14:47:57 INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 609 ms
2026-05-17 14:47:57 INFO  [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2026-05-17 14:47:57 INFO  [o.a.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8888"]
2026-05-17 14:47:57 INFO  [o.s.b.w.e.tomcat.TomcatWebServer] - Tomcat started on port(s): 8888 (http) with context path ''
2026-05-17 14:47:57 INFO  [com.example.wyk.WykMusicApplication] - Started WykMusicApplication in 0.977 seconds (JVM running for 162.028)
2026-05-17 14:47:57 INFO  [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2026-05-17 14:48:00 INFO  [com.example.wyk.WykMusicApplication] - Starting WykMusicApplication using Java 17.0.17 on 还有机会吗 with PID 34600 (C:\Users\33413\Desktop\music-website-master\music-server\target\classes started by 33413 in C:\Users\33413\Desktop\music-website-master\music-server)
2026-05-17 14:48:00 INFO  [com.example.wyk.WykMusicApplication] - The following profiles are active: dev
2026-05-17 14:48:00 INFO  [o.s.d.r.c.RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
